,id,description,price,address,date added,agent
2368,67630807,5 bedroom block of apartments for sale,399000,"Brook Road, Fallowfield, Manchester",21/09/2018," by Edward Mellor Ltd, Stockport"
2366,68909135,3 bedroom town house for sale,399500,"Cotton Square, Manchester",18/09/2017, by Belvoir
2367,50698725,2 bedroom apartment for sale,399500,"Whitworth Street West, Manchester, Greater Manchester, M1",22/09/2017," by Cherry Picked Properties, Heald Green"
2358,67024009,2 bedroom apartment for sale,399950,"Castle Quay, Castlefield, Manchester",10/10/2018," by Philip James Manchester, Sales"
2365,67212925,3 bedroom terraced house for sale,399950,"East Lodge, 1 Houseman Crescent, West Didsbury, Manchester",29/08/2018," by Philip James Kennedy, Didsbury"
2364,67192876,3 bedroom detached house for sale,399950,"Cunningham Drive, Moss Nook",28/08/2018," by Gascoigne Halman, Cheadle"
2363,56971851,4 bedroom semi-detached house for sale,399950,"Cape Street, Withington, Manchester, M20 ",26/09/2018," by JP & Brimelow , Withington"
2362,67344961,4 bedroom semi-detached house for sale,399950,"Broad Oak Lane, East Didsbury, Manchester",24/09/2018," by Julian Wadden, Didsbury"
2361,70757822,3 bedroom end of terrace house for sale,399950,"Shaw Road, Heaton Moor, Stockport",27/12/2017," by Joules Estate Agency, Heaton Mersey"
2360,60688198,2 bedroom apartment for sale,399950,"The Quadrangle, Lower Ormond Street, Manchester",29/06/2017," by Philip James Manchester, Sales"
2359,69802397,3 bedroom apartment for sale,399950,"Linter - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",31/10/2017, by JLL
2356,75554600,3 bedroom semi-detached house for sale,399950,"Barlow Moor Road, Manchester, Greater Manchester, M21",11/09/2018," by Tepilo Limited, UK"
2357,67630909,2 bedroom apartment for sale,399950,"Leftbank 18, Spinningfields, Manchester",21/09/2018," by Philip James Manchester, Sales"
2353,76692332,3 bedroom flat for sale,399995,"Northill Apartments, Salford, Greater Manchester, M50",, by Parker Buchanan Estates Ltd
2354,71485619,2 bedroom apartment for sale,399995,"The Quadrangle, Lower Ormond Street, Manchester, M1",21/02/2018," by Smooth Moves (Manchester) Ltd, Oldham - Sales"
2355,55243524,5 bedroom semi-detached house for sale,399995,"Bolton Road, Swinton, Manchester, M27 8XS",05/07/2018," by Hunters, Worsley"
2352,64067551,6 bedroom detached house for sale,400000,"Patch Croft Road, Manchester, M22",17/09/2018," by Reeds Rains , Heald Green"
2351,65201383,5 bedroom semi-detached house for sale,400000,"Clarendon Crescent, Eccles",04/05/2018," by Murphy Waldron Estates Ltd, Salford "
2350,65201377,5 bedroom semi-detached house for sale,400000,"Clarendon Crescent, Eccles",04/05/2018," by Murphy Waldron Estates Ltd, Salford "
2349,75936650,5 bedroom semi-detached house for sale,400000,"Monton Green, Monton Eccles",27/09/2018," by Sell Well Online, Worsley"
2399,67318199,2 bedroom apartment for sale,402950,"Carding - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",28/06/2017, by JLL
2398,52133316,4 bedroom detached house for sale,405000,"Kingston Grove, Heaton Moor",22/10/2018," by Julian Wadden, The Heatons"
2397,67627858,2 bedroom apartment for sale,405000,"Castle Quay, Manchester",08/10/2018," by Philip James Manchester, Sales"
2396,55547919,2 bedroom apartment for sale,406280,"Store Street,
Manchester,
M1",19/07/2018, by Alliance Investments
2395,56346363,4 bedroom apartment for sale,406500,"10,The Corner, Broughton Park",31/08/2018," by Aubrey Lee & Co, Prestwich"
2394,55547946,2 bedroom apartment for sale,407273,"Store Street,
Manchester,
M1",19/07/2018, by Alliance Investments
2393,67318211,2 bedroom apartment for sale,408950,"Carding - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",28/06/2017, by JLL
2392,56703834,2 bedroom town house for sale,409000,"Regent Road, Manchester, M3 4JU",20/09/2018, by Case McNair Estate Agents
2391,76555451,2 bedroom town house for sale,409020," Water Street, Manchester, Greater Manchester, M3",20/10/2018, by Royal Properties
